task,experiment,model,target_class,feature,view_type,value,rank
classification,combined_base,RandomForest,__global__,Gls_per90,importance,0.02384148565767053,16
classification,combined_base,RandomForest,__global__,xAG,importance,0.022248441222041306,17
classification,combined_base,RandomForest,__global__,G-PK_per90,importance,0.021260135562982205,18
classification,combined_base,RandomForest,__global__,Min,importance,0.01726919810921566,19
classification,combined_base,RandomForest,__global__,90s,importance,0.016194013525642623,20
classification,combined_base,ExtraTrees,__global__,PrgP_per90,importance,0.07563139644263595,1
classification,combined_base,ExtraTrees,__global__,npxG+xAG_per90,importance,0.05798974348918158,2
classification,combined_base,ExtraTrees,__global__,PrgP,importance,0.054835285771044996,3
classification,combined_base,ExtraTrees,__global__,npxG_per90,importance,0.051437609424028495,4
classification,combined_base,ExtraTrees,__global__,PrgR_per90,importance,0.050426497654298214,5
classification,combined_base,ExtraTrees,__global__,start_rate,importance,0.04800566532132381,6
classification,combined_base,ExtraTrees,__global__,xG_per90,importance,0.0423129753882329,7
classification,combined_base,ExtraTrees,__global__,PrgR,importance,0.04084220060595817,8
classification,combined_base,ExtraTrees,__global__,npxG+xAG,importance,0.04018236454019279,9
classification,combined_base,ExtraTrees,__global__,npxG,importance,0.03581710387749848,10
classification,combined_base,ExtraTrees,__global__,xG,importance,0.03460499419557368,11
classification,combined_base,ExtraTrees,__global__,PrgC_per90,importance,0.03436028638365771,12
classification,combined_base,ExtraTrees,__global__,G+A_per90,importance,0.03274187609290532,13
classification,combined_base,ExtraTrees,__global__,PrgC,importance,0.02385450931641382,14
classification,combined_base,ExtraTrees,__global__,Gls_per90,importance,0.022067439389690295,15
classification,combined_base,ExtraTrees,__global__,xAG_per90,importance,0.021211867814789367,16
classification,combined_base,ExtraTrees,__global__,G-PK_per90,importance,0.021091549132924544,17
classification,combined_base,ExtraTrees,__global__,Gls,importance,0.01766665610150235,18
classification,combined_base,ExtraTrees,__global__,xAG,importance,0.017643167132020944,19
classification,combined_base,ExtraTrees,__global__,90s,importance,0.01741779007471001,20
classification,detailed_2024_2025,LogisticRegression,DF,Clr,coefficient,1.8852735774586054,1
classification,detailed_2024_2025,LogisticRegression,DF,TI,coefficient,1.4228764871243533,2
classification,detailed_2024_2025,LogisticRegression,DF,Squad_Celta Vigo,coefficient,-1.3516641477761238,3
classification,detailed_2024_2025,LogisticRegression,DF,PrgDist_stats_possession,coefficient,1.1051979263196774,4
classification,detailed_2024_2025,LogisticRegression,DF,Squad_St. Pauli,coefficient,-1.0638266880015954,5
classification,detailed_2024_2025,LogisticRegression,DF,CrsPA,coefficient,0.8989996567275447,6
classification,detailed_2024_2025,LogisticRegression,DF,Sh_stats_defense,coefficient,0.8324930412594126,7
classification,detailed_2024_2025,LogisticRegression,DF,Nation_MAR,coefficient,-0.7921734913972522,8
classification,detailed_2024_2025,LogisticRegression,DF,Min%,coefficient,-0.7687791152435105,9
classification,detailed_2024_2025,LogisticRegression,DF,Nation_GRE,coefficient,-0.7432515370668564,10
classification,detailed_2024_2025,LogisticRegression,DF,Min,coefficient,-0.7053236676918706,11
classification,detailed_2024_2025,LogisticRegression,DF,Def 3rd_stats_possession,coefficient,0.6976364623577705,12
classification,detailed_2024_2025,LogisticRegression,DF,90s,coefficient,-0.6924734060540075,13
classification,detailed_2024_2025,LogisticRegression,DF,xG+/-,coefficient,0.6654586604482398,14
classification,detailed_2024_2025,LogisticRegression,DF,TO,coefficient,-0.6594081333338119,15
classification,detailed_2024_2025,LogisticRegression,DF,Nation_NED,coefficient,0.6581382156990745,16
classification,detailed_2024_2025,LogisticRegression,DF,PassLive,coefficient,-0.652329872647835,17
classification,detailed_2024_2025,LogisticRegression,DF,Pass,coefficient,-0.6293960102496372,18
classification,detailed_2024_2025,LogisticRegression,DF,Squad_Bochum,coefficient,0.6149536840684805,19
classification,detailed_2024_2025,LogisticRegression,DF,Succ,coefficient,0.5999797524322381,20
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Toulouse,coefficient,-1.374782626521569,1
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Celta Vigo,coefficient,1.2989683004484711,2
classification,detailed_2024_2025,LogisticRegression,FW,Squad_Leverkusen,coefficient,-1.1261406058493486,3
