Player,Nation,Squad,Comp,Pos,season,source_file,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,npxG+xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,start_rate
Álvaro Vallés,ESP,Las Palmas,La Liga,GK,2023_2024,top5-players.csv,26.0,1997.0,37,37,3263,36.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05509641873278237,0.027548209366391185,0.0,0.0,0.0,0.0,0.0,0.13774104683195593,0.0,1.0
Federico Valverde,URU,Real Madrid,La Liga,MF,2023_2024,top5-players.csv,25.0,1998.0,37,33,2904,32.3,2,7,9,2,0,0,2,0,3.5,3.5,5.8,9.3,104.0,231.0,102.0,0.061919504643962855,0.21671826625387,0.2786377708978328,0.061919504643962855,0.0,0.0,0.061919504643962855,0.0,0.108359133126935,0.108359133126935,0.17956656346749228,0.2879256965944273,3.2198142414860684,7.15170278637771,3.1578947368421058,0.8918918918918919
Kévin Van Den Kerkhof,ALG,Metz,Ligue 1,FW,2023_2024,top5-players.csv,27.0,1996.0,29,21,1913,21.3,1,2,3,1,0,0,2,0,1.5,1.5,3.5,5.0,65.0,28.0,145.0,0.046948356807511735,0.09389671361502347,0.14084507042253522,0.046948356807511735,0.0,0.0,0.09389671361502347,0.0,0.07042253521126761,0.07042253521126761,0.16431924882629106,0.2347417840375587,3.051643192488263,1.3145539906103285,6.807511737089202,0.7241379310344828
Siebe Van Der Heyden,BEL,Mallorca,La Liga,DF,2023_2024,top5-players.csv,25.0,1998.0,6,4,286,3.2,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.3125,0.0625,0.0625,0.0,0.0625,0.3125,0.3125,0.3125,0.6666666666666666
Virgil van Dijk,NED,Liverpool,Premier League,DF,2023_2024,top5-players.csv,32.0,1991.0,36,36,3177,35.3,2,2,4,2,0,0,3,1,2.8,2.8,1.6,4.4,32.0,200.0,7.0,0.056657223796034,0.056657223796034,0.113314447592068,0.056657223796034,0.0,0.0,0.08498583569405099,0.028328611898017,0.07932011331444759,0.07932011331444759,0.045325779036827205,0.12464589235127481,0.906515580736544,5.6657223796034,0.19830028328611898,1.0
Vanderson,BRA,Monaco,Ligue 1,DF,2023_2024,top5-players.csv,22.0,2001.0,20,20,1641,18.2,3,1,4,3,0,0,6,1,2.1,2.1,1.4,3.5,26.0,71.0,129.0,0.16483516483516483,0.054945054945054944,0.21978021978021978,0.16483516483516483,0.0,0.0,0.32967032967032966,0.054945054945054944,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.19230769230769232,1.4285714285714286,3.9010989010989015,7.0879120879120885,1.0
Raphaël Varane,FRA,Manchester Utd,Premier League,DF,2023_2024,top5-players.csv,30.0,1993.0,22,16,1375,15.3,1,0,1,1,0,0,2,0,1.3,1.3,0.1,1.3,16.0,59.0,2.0,0.06535947712418301,0.0,0.06535947712418301,0.06535947712418301,0.0,0.0,0.13071895424836602,0.0,0.08496732026143791,0.08496732026143791,0.006535947712418301,0.08496732026143791,1.0457516339869282,3.856209150326797,0.13071895424836602,0.7272727272727273
Ruben Vargas,SUI,Augsburg,Bundesliga,MF,2023_2024,top5-players.csv,24.0,1998.0,31,25,1962,21.8,4,5,9,4,0,0,3,0,3.9,3.9,2.4,6.3,57.0,77.0,145.0,0.18348623853211007,0.2293577981651376,0.4128440366972477,0.18348623853211007,0.0,0.0,0.13761467889908258,0.0,0.17889908256880732,0.17889908256880732,0.11009174311926605,0.2889908256880734,2.614678899082569,3.532110091743119,6.651376146788991,0.8064516129032258
Johan Vásquez,MEX,Genoa,Serie A,DF,2023_2024,top5-players.csv,24.0,1998.0,37,32,2850,31.7,1,1,2,1,0,0,6,0,1.9,1.9,0.8,2.7,29.0,81.0,61.0,0.031545741324921134,0.031545741324921134,0.06309148264984227,0.031545741324921134,0.0,0.0,0.18927444794952683,0.0,0.05993690851735015,0.05993690851735015,0.02523659305993691,0.08517350157728708,0.9148264984227129,2.555205047318612,1.9242902208201893,0.8648648648648649
José Luis García Vayá,ESP,Valencia,La Liga,MF,2023_2024,top5-players.csv,24.0,1998.0,37,37,3302,36.7,7,1,8,0,7,8,4,0,7.3,1.0,3.2,4.2,30.0,251.0,43.0,0.19073569482288827,0.02724795640326975,0.217983651226158,0.0,0.19073569482288827,0.217983651226158,0.108991825613079,0.0,0.19891008174386918,0.02724795640326975,0.08719346049046321,0.11444141689373297,0.8174386920980926,6.839237057220708,1.1716621253405994,1.0
Jesus Vazquez,ESP,Valencia,La Liga,DF,2023_2024,top5-players.csv,20.0,2003.0,20,6,716,8.0,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.3,13.0,15.0,29.0,0.125,0.0,0.125,0.125,0.0,0.0,0.125,0.0,0.15,0.15,0.0125,0.1625,1.625,1.875,3.625,0.3
Kevin Vázquez,ESP,Celta Vigo,La Liga,DF,2023_2024,top5-players.csv,30.0,1993.0,12,10,700,7.8,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,6.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.025641025641025644,0.025641025641025644,0.7692307692307693,3.58974358974359,2.5641025641025643,0.8333333333333334
Lucas Vázquez,ESP,Real Madrid,La Liga,DF,2023_2024,top5-players.csv,32.0,1991.0,29,14,1419,15.8,3,6,9,3,0,0,0,0,1.2,1.1,3.8,4.8,28.0,58.0,160.0,0.18987341772151897,0.37974683544303794,0.5696202531645569,0.18987341772151897,0.0,0.0,0.0,0.0,0.07594936708860758,0.06962025316455696,0.24050632911392403,0.30379746835443033,1.7721518987341771,3.670886075949367,10.126582278481012,0.4827586206896552
Matías Vecino,URU,Lazio,Serie A,MF,2023_2024,top5-players.csv,31.0,1991.0,31,8,1153,12.8,6,1,7,6,0,0,8,0,3.7,3.7,0.4,4.1,16.0,74.0,43.0,0.46875,0.078125,0.546875,0.46875,0.0,0.0,0.625,0.0,0.2890625,0.2890625,0.03125,0.32031249999999994,1.25,5.78125,3.359375,0.25806451612903225
Miloš Veljković,SRB,Werder Bremen,Bundesliga,DF,2023_2024,top5-players.csv,27.0,1995.0,23,21,1920,21.3,2,1,3,2,0,0,2,0,1.7,1.7,0.8,2.5,16.0,89.0,13.0,0.09389671361502347,0.046948356807511735,0.14084507042253522,0.09389671361502347,0.0,0.0,0.09389671361502347,0.0,0.07981220657276995,0.07981220657276995,0.03755868544600939,0.11737089201877934,0.7511737089201878,4.178403755868544,0.6103286384976525,0.9130434782608695
Joël Veltman,NED,Brighton,Premier League,DF,2023_2024,top5-players.csv,31.0,1992.0,27,17,1588,17.6,1,1,2,1,0,0,4,0,0.4,0.4,0.5,0.9,24.0,85.0,54.0,0.056818181818181816,0.056818181818181816,0.11363636363636363,0.056818181818181816,0.0,0.0,0.22727272727272727,0.0,0.022727272727272728,0.022727272727272728,0.028409090909090908,0.05113636363636363,1.3636363636363635,4.829545454545454,3.068181818181818,0.6296296296296297
Micky van de Ven,NED,Tottenham,Premier League,DF,2023_2024,top5-players.csv,22.0,2001.0,27,27,2339,26.0,3,0,3,3,0,0,5,0,0.6,0.6,0.0,0.6,19.0,108.0,9.0,0.11538461538461539,0.0,0.11538461538461539,0.11538461538461539,0.0,0.0,0.19230769230769232,0.0,0.023076923076923075,0.023076923076923075,0.0,0.023076923076923075,0.7307692307692307,4.153846153846154,0.34615384615384615,1.0
